,Alloy composition,,,,,,,,,,,,,,Heat Treatment,,,,,,Microstructure and Phases,,Allot Discription ,,
Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,"The alloy Al0.5NbTaTiV , is having 5 elemental composition and without heat treatment it is showing BCC microstructure and BCC_SS Phases",,References
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2015.12.017
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2015.12.017
HfNbTaZr,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.actamat.2016.01.018
HfTaTiZr,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,,,,,,,BCC,BCC_SS,,,10.1002/adma.201701678
Mo0.1NbTiV0.3Zr,0,0,0,0,0,0,0,0.294117647,0.088235294,0.294117647,0.029411765,0.294117647,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.3NbTiV0.3Zr,0,0,0,0,0,0,0,0.277777778,0.083333333,0.277777778,0.083333333,0.277777778,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.3NbTiVZr,0,0,0,0,0,0,0,0.23255814,0.23255814,0.23255814,0.069767442,0.23255814,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.5NbTiV0.3Zr,0,0,0,0,0,0,0,0.263157895,0.078947368,0.263157895,0.131578947,0.263157895,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.5NbTiVZr,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.7NbTiV0.3Zr,0,0,0,0,0,0,0,0.25,0.075,0.25,0.175,0.25,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo0.7NbTiVZr,0,0,0,0,0,0,0,0.212765957,0.212765957,0.212765957,0.14893617,0.212765957,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo1.3NbTiV0.3Zr,0,0,0,0,0,0,0,0.217391304,0.065217391,0.217391304,0.282608696,0.217391304,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo1.3NbTiVZr,0,0,0,0,0,0,0,0.188679245,0.188679245,0.188679245,0.245283019,0.188679245,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
Mo1.5NbTiV0.3Zr,0,0,0,0,0,0,0,0.208333333,0.0625,0.208333333,0.3125,0.208333333,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
MoNbTaTi0.25W,0,0,0,0,0,0,0,0.058823529,0,0.235294118,0.235294118,0,0,0.235294118,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.12.004
MoNbTaTi0.5W,0,0,0,0,0,0,0,0.111111111,0,0.222222222,0.222222222,0,0,0.222222222,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.12.004
MoNbTaTi0.75W,0,0,0,0,0,0,0,0.157894737,0,0.210526316,0.210526316,0,0,0.210526316,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.12.004
MoNbTaTiW,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.12.004
MoNbTaV,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.3390/e18050189
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2017.12.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTaW,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.intermet.2011.01.004
MoNbTiV,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,,,,,,,BCC,BCC_SS,,,10.3390/e16020870
MoNbTiV0.3Zr,0,0,0,0,0,0,0,0.23255814,0.069767442,0.23255814,0.23255814,0.23255814,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
MoNbTiVZr,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
NbTaTiV,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,,,,,,,BCC,BCC_SS,,,10.1016/j.proeng.2012.03.043
NbTiV0.3Zr,0,0,0,0,0,0,0,0.303030303,0.090909091,0.303030303,0,0.303030303,0,0,,,,,,,BCC,BCC_SS,,,10.1016/j.matdes.2015.06.072
CoFeNi,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jmmm.2014.07.023
CoFeNiSi0.25,0,0.307692308,0,0.307692308,0.307692308,0,0,0,0,0,0,0,0,0,,,,,,,FCC,FCC_SS,,,10.1016/j.jmmm.2014.07.023
CoFeNiSi0.5,0,0.285714286,0,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.jmmm.2014.07.023
CoFeNiSi0.75,0,0.266666667,0,0.266666667,0.266666667,0,0,0,0,0,0,0,0,0,,,,,,,FCC + Im,Im,,,10.1016/j.jmmm.2014.07.023
